0        0        0        0        0        0        0        0        0        -1        0        0        0        0        0        0        0        0        1        	"1" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"2" 5
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"3" 6
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"4" 5
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"5" 6
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"6" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"7" 5
0        0        0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        1        	"8" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"9" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"10" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"11" 5
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"12" 6
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"13" 2
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"14" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"15" 5
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"16" 6
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"17" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"18" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"19" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"20" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"21" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"22" 2
0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"23" 8
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"24" 6
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"25" 5
0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"26" 8
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"27" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"28" 2
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"29" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"30" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"31" 5
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"32" 6
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"33" 2
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"34" 2
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"35" 2
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"36" 2
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"37" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"38" 2
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"39" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"40" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"41" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"42" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"43" 2
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"44" 6
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"45" 2
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"46" 6
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"47" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"48" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"49" 2
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"50" 5
-1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"51" 3
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"52" 6
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"53" 5
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"54" 6
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"55" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"56" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"57" 2
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"58" 2
0        0        0        -1        0        0        0        0        0        -1        0        0        0        0        0        1        0        0        1        	"59" 9
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"60" 5
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"61" 6
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"62" 2
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"63" 6
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"64" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"65" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"66" 5
-1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"67" 3
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"68" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"69" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"70" 5
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"71" 6
