NM_001123391	TBC1D3	0	0	1	1	no	0	15922
NM_001173988	RABL6	922.514	9.83925	5e-05	0.000150478	yes	-912.67475	2317
NM_024718	RABL6	922.514	9.83925	5e-05	0.000150478	yes	-912.67475	24078
NM_001242672	TTC34	0.11585	0.167515	1	1	no	0.051665	28037
NM_001123392	TBC1D3H	0	0	1	1	no	0	33071
NM_016086	STYXL1	8.35837	7.18205	0.53	0.551868	no	-1.17632	35756
NM_016202	ZNF580	9.85741	2.40396	5e-05	0.000150478	yes	-7.45345	5956
NM_001163423	ZNF580	9.85741	2.40396	5e-05	0.000150478	yes	-7.45345	9884
