gene  status        value_1        value_2        p_value        q_value	significant
NR_047699  NOTEST        2.44622        0.944018        1        1	no
NM_024808  OK        11.8767        10.0096        0.19975        0.260978	no
NR_047005  OK        9.39566        10.2385        0.70425        0.721284	no
NR_034024  NOTEST        0        0        1        1	no
NR_034025  NOTEST        0        0        1        1	no
NM_001257995  NOTEST        0        2.34504        1        1	no
NR_026983  NOTEST        0        0        1        1	no
NR_046716  OK        5.81457        8.97411        0.25505        0.280362	no
NM_001160706  NOTEST        0        0        1        1	no
NM_003843  NOTEST        0        0        1        1	no
NM_144777  NOTEST        0        0        1        1	no
NR_103853  NOTEST        0        0.0788462        1        1	no
NR_047028  NOTEST        0        0        1        1	no
NR_104138  NOTEST        0        0        1        1	no
NR_046871  NOTEST        0.299339        0.144756        1        1	no
NR_046989  NOTEST        0        0.109882        1        1	no
NM_015567  NOTEST        0        0.0206452        1        1	no
NR_047021  NOTEST        0        0        1        1	no
NR_030754  NOTEST        0        0        1        1	no
NR_027349  OK        227.954        116.598        0.53365        0.555493	no
NR_027350  OK        227.954        116.598        0.53365        0.555493	no
NR_029487  OK        227.954        116.598        0.53365        0.555493	no
NR_029488  OK        227.954        116.598        0.53365        0.555493	no
NR_029489  OK        227.954        116.598        0.53365        0.555493	no
NR_029490  OK        227.954        116.598        0.53365        0.555493	no
NR_029492  OK        227.954        116.598        0.53365        0.555493	no
NR_029508  OK        227.954        116.598        0.53365        0.555493	no
NM_004466  NOTEST        0.340062        2.00122        1        1	no
NM_005708  NOTEST        0.501309        0.305463        1        1	no
NR_046514  NOTEST        0.850473        0.0945961        1        1	no
NM_153456  NOTEST        0.143686        0.0115233        1        1	no
NM_144778  NOTEST        1.49146        0.799388        1        1	no
NM_207304  NOTEST        1.49146        0.799388        1        1	no
NM_001001715  OK        9.0582        8.93293        0.9081        0.914815	no
NM_005766  OK        9.0582        8.93293        0.9081        0.914815	no
NR_036129  NOTEST        0        354.621        1        1	no
NR_046663  NOTEST        0        0.933329        1        1	no
NR_047482  NOTEST        0.749855        0.0518026        1        1	no
NR_024013  OK        5.40583        4.78079        0.7404        0.756681	no
NR_030353  NOTEST        109.405        52.6441        1        1	no
NM_206808  NOTEST        0.130795        0.157656        1        1	no
NR_036191  OK        154.674        0        0.23045        0.26158	no
NR_047687  NOTEST        0        0        1        1	no
NM_001271754  NOTEST        0        0        1        1	no
NM_001271755  NOTEST        0        0        1        1	no
NM_001271756  NOTEST        0        0        1        1	no
NM_004791  NOTEST        0        0        1        1	no
NR_036487  NOTEST        0        0        1        1	no
NM_003291  OK        24.5107        16.8214        0.03745        0.0617448	no
NM_001161812  NOTEST        0        0        1        1	no
NM_001161814  NOTEST        0        0        1        1	no
NM_172370  NOTEST        0        0        1        1	no
NR_046391  NOTEST        0        0        1        1	no
NR_034119  NOTEST        0        0        1        1	no
NR_051977  NOTEST        0        0        1        1	no
NR_047026  NOTEST        0        0        1        1	no
NM_032859  NOTEST        1.78503        0.275543        1        1	no
NM_001145645  NOTEST        0.150993        0.218531        1        1	no
NM_006573  NOTEST        0.150993        0.218531        1        1	no
NM_001198950  NOTEST        0        0        1        1	no
NM_015011  NOTEST        0        0        1        1	no
NR_103846  NOTEST        0        0.288556        1        1	no
NM_152324  NOTEST        0.360391        0.521974        1        1	no
NM_005986  NOTEST        0        0        1        1	no
NM_145248  NOTEST        0        0        1        1	no
NM_207440  NOTEST        0        0        1        1	no
NM_001112732  NOTEST        0.935445        0.338089        1        1	no
NM_024979  NOTEST        0.935445        0.338089        1        1	no
NM_000131  NOTEST        0        0.164193        1        1	no
NM_001267554  NOTEST        0        0.164193        1        1	no
NM_019616  NOTEST        0        0.164193        1        1	no
NM_000504  NOTEST        0        0.527293        1        1	no
NM_001256134  NOTEST        0.849768        0.66368        1        1	no
NM_003891  NOTEST        0.849768        0.66368        1        1	no
NM_017905  NOTEST        2.39974        0.609414        1        1	no
NM_002929  NOTEST        0        0.648957        1        1	no
NM_182614  NOTEST        0        0.318214        1        1	no
NR_044995  NOTEST        0.790153        0.126737        1        1	no
NM_001278674  NOTEST        0        0.0624207        1        1	no
NR_047508  NOTEST        0.538447        0.778572        1        1	no
NM_006001  NOTEST        0        0.130355        1        1	no
NR_027248  NOTEST        0        0        1        1	no
NM_001141968  NOTEST        0.946131        0.597636        1        1	no
NM_001271850  NOTEST        0.946131        0.597636        1        1	no
NM_130785  NOTEST        0.946131        0.597636        1        1	no
NM_199254  NOTEST        0.946131        0.597636        1        1	no
NM_021954  NOTEST        0.473109        0.614398        1        1	no
NM_004004  NOTEST        0.0855267        0.0411544        1        1	no
NM_001110219  NOTEST        0        0        1        1	no
NM_001110220  NOTEST        0        0        1        1	no
NM_001110221  NOTEST        0        0        1        1	no
NM_006783  NOTEST        0        0        1        1	no
NM_015974  NOTEST        0.420972        0.0675221        1        1	no
NR_039721  NOTEST        0        0        1        1	no
NM_174928  OK        9.03519        11.2862        0.24265        0.271716	no
NR_104058  NOTEST        3.3272        1.1231        1        1	no
NM_014572  NOTEST        1.22744        0.559285        1        1	no
NR_103840  OK        4.81125        0.476969        0.13705        0.187268	no
NR_103841  OK        4.81125        0.476969        0.13705        0.187268	no
NR_047040  NOTEST        0        0        1        1	no
NR_033774  NOTEST        0.383965        0        1        1	no
NM_001007537  NOTEST        0        0.329778        1        1	no
NR_073430  NOTEST        0.967301        0.556212        1        1	no
NR_046531  NOTEST        0        2.30017        1        1	no
NM_152704  NOTEST        0.191397        0        1        1	no
NM_199138  NOTEST        0.191397        0        1        1	no
NM_004685  NOTEST        1.67107        0.736267        1        1	no
NR_047484  NOTEST        0.202448        0.146366        1        1	no
NM_001105577  NOTEST        0        0.275388        1        1	no
NM_004119  NOTEST        0.0500279        0        1        1	no
NR_046378  OK        0        4.3417        0.12845        0.177755	no
NM_001033602  OK        0.130653        3.46624        0.17125        0.22809	no
NM_001033602  OK        0.244622        3.30406        0.191        0.251028	no
NR_046510  NOTEST        0        0        1        1	no
NR_047501  NOTEST        0        0        1        1	no
NR_024464  NOTEST        0.131408        0.0635469        1        1	no
NR_038287  NOTEST        0        0        1        1	no
NR_038288  NOTEST        0        0        1        1	no
NM_001136571  NOTEST        0.202446        0.293214        1        1	no
NR_051980  OK        7.69426        7.46405        0.7578        0.77231	no
NR_047020  NOTEST        0        1.14334        1        1	no
NR_047036  NOTEST        0        0        1        1	no
NM_005584  NOTEST        1.21199        0.519688        1        1	no
NM_001195415  NOTEST        0.102237        0.0625205        1        1	no
NM_001195416  NOTEST        0.102237        0.0625205        1        1	no
NM_001195430  NOTEST        0.102237        0.0625205        1        1	no
NM_004734  NOTEST        0.102237        0.0625205        1        1	no
NM_001144981  NOTEST        0.32197        1.34909        1        1	no
NM_001144982  NOTEST        0.32197        1.34909        1        1	no
NM_001144983  NOTEST        0.32197        1.34909        1        1	no
NM_001144984  NOTEST        0.32197        1.34909        1        1	no
NM_001144985  NOTEST        0.32197        1.34909        1        1	no
NM_001144986  NOTEST        0.32197        1.34909        1        1	no
NM_001198908  NOTEST        0.32197        1.34909        1        1	no
NM_001198910  NOTEST        0.32197        1.34909        1        1	no
NM_001282147  NOTEST        0.32197        1.34909        1        1	no
NM_017826  NOTEST        0.32197        1.34909        1        1	no
NM_001142364  OK        10.1323        9.48222        0.6611        0.680307	no
NM_013338  OK        10.1323        9.48222        0.6611        0.680307	no
NM_145203  NOTEST        0        0        1        1	no
NM_001135934  NOTEST        0        0        1        1	no
NM_001135935  NOTEST        0        0        1        1	no
NM_001135936  NOTEST        0        0        1        1	no
NM_006475  NOTEST        0        0        1        1	no
NM_001135955  NOTEST        0        0        1        1	no
NM_001135956  NOTEST        0        0        1        1	no
NM_001135957  NOTEST        0        0        1        1	no
NM_001135958  NOTEST        0        0        1        1	no
NM_003306  NOTEST        0        0        1        1	no
NM_016179  NOTEST        0        0        1        1	no
NR_047500  NOTEST        0.574115        0.555266        1        1	no
NM_001144033  NOTEST        0        0.513388        1        1	no
NM_145286  NOTEST        0        0.513388        1        1	no
NR_036190  NOTEST        0        0        1        1	no
NR_033877  NOTEST        0        0        1        1	no
NR_031723  NOTEST        0        0        1        1	no
NM_032138  NOTEST        1.37088        0.818433        1        1	no
NM_004294  NOTEST        2.77159        1.87198        1        1	no
NM_001002264  NOTEST        0        0.0299977        1        1	no
NM_033255  NOTEST        0        0.0299977        1        1	no
NM_001127615  NOTEST        2.13576        1.00794        1        1	no
NM_001242863  NOTEST        2.13576        1.00794        1        1	no
NM_017993  NOTEST        2.13576        1.00794        1        1	no
NM_024058  NOTEST        0.180198        0        1        1	no
NR_046843  NOTEST        0.664209        0        1        1	no
NR_104174  NOTEST        0        0.301947        1        1	no
NM_004128  OK        2.37734        3.94976        0.19185        0.251534	no
NR_002967  OK        164.511        63.4861        0.26965        0.29544	no
NM_001010875  NOTEST        2.04909        0.735192        1        1	no
NM_182542  NOTEST        0.0820933        0.990312        1        1	no
NM_198849  NOTEST        0.432193        0.231419        1        1	no
NM_001278541  NOTEST        1.00344        0.280893        1        1	no
NM_001872  NOTEST        1.00344        0.280893        1        1	no
NM_002298  NOTEST        0.0507533        0.220162        1        1	no
NR_047493  NOTEST        0        0        1        1	no
NM_025113  NOTEST        0.482378        0.186154        1        1	no
NM_000621  NOTEST        0.300837        0.156146        1        1	no
NM_001165947  NOTEST        0.300837        0.156146        1        1	no
NR_046414  NOTEST        1.16294        1.58922        1        1	no
NM_001162497  OK        2.81414        2.62575        0.72445        0.740896	no
NM_001162498  OK        2.81414        2.62575        0.72445        0.740896	no
NM_005767  OK        2.81414        2.62575        0.72445        0.740896	no
NM_001268  NOTEST        1.10267        0.768315        1        1	no
NR_051983  NOTEST        0        0        1        1	no
NM_001079670  NOTEST        0.376604        0.859246        1        1	no
NM_030925  NOTEST        0.376604        0.859246        1        1	no
NM_001278636  OK        12.346        10.8918        0.38975        0.414672	no
NM_032565  OK        12.346        10.8918        0.38975        0.414672	no
NR_002612  OK        26.5909        22.2982        0.11995        0.16982	no
NR_037407  OK        26.5909        22.2982        0.11995        0.16982	no
NM_001007278  OK        7.04521        7.80402        0.3581        0.382353	no
NR_029486  NOTEST        172.237        0        1        1	no
NR_029485  NOTEST        244.765        117.852        1        1	no
NM_198989  NOTEST        0.37295        0.269635        1        1	no
NR_046552  OK        4.76661        0.418059        0.2294        0.260978	no
NR_102431  OK        13.1282        14.6197        0.51145        0.534638	no
NR_102432  OK        13.1282        14.6197        0.51145        0.534638	no
NR_049878  NOTEST        0        484.948        1        1	no
NM_001031719  OK        3.52264        2.96862        0.56695        0.587875	no
NM_001270424  OK        3.52264        2.96862        0.56695        0.587875	no
NM_024705  OK        3.52264        2.96862        0.56695        0.587875	no
NR_027047  NOTEST        0.529756        0.487919        1        1	no
NR_027048  NOTEST        0.529756        0.487919        1        1	no
NM_001146099  NOTEST        2.52113        1.68173        1        1	no
NM_002498  NOTEST        2.52113        1.68173        1        1	no
NM_152720  NOTEST        2.52113        1.68173        1        1	no
NM_002590  NOTEST        0.0518776        0.025085        1        1	no
NM_032949  NOTEST        0.0518776        0.025085        1        1	no
NR_031628  NOTEST        0        0        1        1	no
NR_036128  NOTEST        0        0        1        1	no
NM_022843  NOTEST        0.0795983        0        1        1	no
NR_047011  NOTEST        0        1.24703        1        1	no
NM_020403  NOTEST        1.69058        0.281665        1        1	no
NM_203487  NOTEST        1.69058        0.281665        1        1	no
NR_038878  NOTEST        0        0.081636        1        1	no
NM_020866  NOTEST        0        0        1        1	no
NM_004392  NOTEST        0.759229        0.259508        1        1	no
NM_080759  NOTEST        0.759229        0.259508        1        1	no
NM_080760  NOTEST        0.759229        0.259508        1        1	no
NM_001071775  OK        4.45111        3.02192        0.0375        0.0618234	no
NM_007249  NOTEST        1.0541        0.541328        1        1	no
NR_027466  NOTEST        0.225156        0.289452        1        1	no
NR_037438  OK        321.561        0        0.12405        0.174092	no
NM_000115  NOTEST        0.669451        0.145348        1        1	no
NM_001122659  NOTEST        0.669451        0.145348        1        1	no
NM_001201397  NOTEST        0.669451        0.145348        1        1	no
NM_003991  NOTEST        0.669451        0.145348        1        1	no
NM_006237  OK        3.83163        5.05854        0.03255        0.0543838	no
NR_046869  OK        6.51648        6.73598        0.93715        0.938784	no
NR_046685  NOTEST        0        0        1        1	no
NM_001281503  NOTEST        0        0        1        1	no
NM_052910  NOTEST        0        0        1        1	no
NM_032229  NOTEST        0        0        1        1	no
NR_033829  NOTEST        0        0        1        1	no
NR_039722  NOTEST        0        0        1        1	no
NR_104059  NOTEST        0        0        1        1	no
NR_046991  NOTEST        0.40354        0.389324        1        1	no
NR_047489  NOTEST        0.795417        0.719434        1        1	no
NR_027039  NOTEST        2.60861        1.98397        1        1	no
NR_104057  NOTEST        0        0        1        1	no
NR_047004  NOTEST        0.501365        0.242452        1        1	no
NR_046520  NOTEST        0        0        1        1	no
NR_049775  NOTEST        0        0        1        1	no
NR_049776  NOTEST        0        0        1        1	no
NR_046536  NOTEST        0        0.982508        1        1	no
NR_046535  NOTEST        0        0        1        1	no
NM_001129889  NOTEST        0.173805        0.125455        1        1	no
NM_001922  NOTEST        0.173805        0.125455        1        1	no
NM_007084  NOTEST        0.394454        0        1        1	no
NR_046533  NOTEST        0        0.508219        1        1	no
NM_020121  OK        16.255        16.878        0.64855        0.668486	no
NR_051966  NOTEST        0        0        1        1	no
NM_080818  NOTEST        0        0        1        1	no
NM_178861  NOTEST        2.32538        0.897387        1        1	no
NR_039765  NOTEST        0        0        1        1	no
NM_004951  OK        2.76282        2.94328        0.782        0.795702	no
NR_047483  NOTEST        0        0.875915        1        1	no
NR_047686  NOTEST        2.10803        0        1        1	no
NM_001195087  NOTEST        1.54981        0.603191        1        1	no
NM_033110  NOTEST        1.54981        0.603191        1        1	no
NM_001079669  NOTEST        0.932462        0.262716        1        1	no
NM_032813  NOTEST        0.932462        0.262716        1        1	no
NM_052867  NOTEST        0        0        1        1	no
NM_004115  NOTEST        0        0        1        1	no
NM_175929  NOTEST        0        0        1        1	no
NR_039603  NOTEST        0        0        1        1	no
NR_039854  NOTEST        0        0        1        1	no
NR_036486  NOTEST        0        0        1        1	no
NM_001146197  NOTEST        0.0684668        0.499529        1        1	no
NM_138779  NOTEST        2.11627        1.20624        1        1	no
NM_000452  NOTEST        0.0509095        0.024497        1        1	no
NR_049840  NOTEST        0        0        1        1	no
NR_040247  NOTEST        0        0.0771482        1        1	no
NM_001080396  NOTEST        0        0.048041        1        1	no
NM_001098268  NOTEST        1.31946        0.339037        1        1	no
NM_002312  NOTEST        1.31946        0.339037        1        1	no
NM_206937  NOTEST        1.31946        0.339037        1        1	no
NR_047700  NOTEST        0        0        1        1	no
NM_003749  NOTEST        2.38418        0.297184        1        1	no
NM_001845  NOTEST        1.46683        0.54126        1        1	no
NR_046583  NOTEST        0        1.04826        1        1	no
NM_017817  NOTEST        0.697319        0.336544        1        1	no
NR_027701  OK        2.94511        3.57333        0.0944        0.143214	no
NR_034002  NOTEST        0.191377        0        1        1	no
NM_024719  NOTEST        1.96839        0.730764        1        1	no
NM_138430  NOTEST        0.24249        1.20096        1        1	no
NM_199162  NOTEST        0.24249        1.20096        1        1	no
NM_000705  NOTEST        0        0.882527        1        1	no
NR_028064  NOTEST        0        0        1        1	no
NM_000820  NOTEST        2.50343        0.178437        1        1	no
NM_001143945  NOTEST        2.50343        0.178437        1        1	no
NM_001143946  NOTEST        2.50343        0.178437        1        1	no
NR_047495  NOTEST        0        0.0387039        1        1	no
NM_007368  NOTEST        0.819826        0.197682        1        1	no
-  OK        17.214        6.04285        0.1582        0.212061	no
-  OK        29.5592        2.96914        0.1179        0.167977	no
-  OK        5.22109        3.59797        0.52475        0.547349	no
-  OK        12.4654        1.68428        0.03845        0.0632141	no
-  OK        17.7944        1.56069        0.1146        0.165382	no
-  OK        15.2255        2.62175        0.1515        0.203617	no
-  OK        14.3811        1.67391        0.03055        0.0514259	no
-  OK        3.92543        1.37714        0.1585        0.212393	no
-  OK        11.6874        1.53887        0.12665        0.175614	no
-  NOTEST        3.19281        4.6206        1        1	no
-  NOTEST        0        3.81695        1        1	no
-  NOTEST        0        2.1471        1        1	no
-  NOTEST        0        4.22214        1        1	no
-  NOTEST        0.829142        1.99983        1        1	no
-  NOTEST        0.858362        4.55571        1        1	no
-  OK        0.69463        6.03143        0.22535        0.260978	no
-  NOTEST        0        2.76074        1        1	no
-  NOTEST        0        3.33992        1        1	no
-  NOTEST        1.05967        3.1945        1        1	no
-  OK        1.30877        8.20887        0.22985        0.260978	no
-  OK        0.53528        5.68065        0.2249        0.260978	no
-  OK        1.19235        7.47865        0.22985        0.260978	no
-  OK        0.272252        4.99055        0.11235        0.164967	no
-  OK        9.658        46.5888        0.25385        0.27913	no
-  OK        1.04443        7.5585        0.22625        0.260978	no
-  OK        0.166819        5.3111        0.2249        0.260978	no
-  NOTEST        0        4.11063        1        1	no
-  OK        0.299832        4.33904        0.2249        0.260978	no
-  NOTEST        0        3.52366        1        1	no
-  NOTEST        0        3.42364        1        1	no
-  NOTEST        0        3.30974        1        1	no
-  NOTEST        0        4.79307        1        1	no
-  OK        1.29086        6.85119        0.2431        0.271716	no
-  OK        3.11561        10.5217        0.0597        0.0941773	no
-  NOTEST        0        3.39838        1        1	no
-  NOTEST        0.452727        3.05745        1        1	no
-  NOTEST        0.262246        2.53007        1        1	no
-  NOTEST        0        5.36059        1        1	no
-  OK        1.49178        3.95787        0.1652        0.220767	no
-  NOTEST        1.50911        3.20307        1        1	no
-  NOTEST        0        5.00975        1        1	no
-  NOTEST        0        3.65799        1        1	no
-  NOTEST        0        3.87597        1        1	no
-  NOTEST        0.351346        2.37278        1        1	no
-  NOTEST        0        5.7887        1        1	no
-  NOTEST        1.9146        4.61788        1        1	no
-  OK        1.23473        4.52667        0.04595        0.0744741	no
-  OK        0.681622        7.23371        0.2249        0.260978	no
-  OK        0.692006        5.67483        0.11315        0.164967	no
-  NOTEST        0.306911        2.96099        1        1	no
-  NOTEST        0.923481        4.45474        1        1	no
-  NOTEST        0        2.63766        1        1	no
-  NOTEST        0        3.95866        1        1	no
-  OK        10.1622        0.669023        0.1257        0.175614	no
-  OK        5.50074        8.62216        0.5273        0.549132	no
-  NOTEST        2.43734        4.7049        1        1	no
-  OK        0.767899        6.66762        0.22535        0.260978	no
-  NOTEST        0.781114        2.54362        1        1	no
-  NOTEST        0.372945        3.59807        1        1	no
-  NOTEST        0        2.49166        1        1	no
-  NOTEST        0        3.42045        1        1	no
-  NOTEST        0        2.40345        1        1	no
-  OK        0.636342        4.9114        0.2262        0.260978	no
-  OK        0.612775        4.43317        0.22625        0.260978	no
-  NOTEST        0        3.30041        1        1	no
-  NOTEST        0        2.77441        1        1	no
-  NOTEST        0        2.55024        1        1	no
-  OK        1.08117        7.82182        0.22625        0.260978	no
-  OK        0.375252        4.16292        0.2249        0.260978	no
-  OK        1.89006        9.11738        0.25385        0.27913	no
-  OK        0.490554        4.25946        0.22535        0.260978	no
-  NOTEST        0        3.31932        1        1	no
-  NOTEST        0        4.81916        1        1	no
-  NOTEST        0        3.88031        1        1	no
-  OK        0.413629        4.58965        0.2249        0.260978	no
-  NOTEST        0        4.73468        1        1	no
-  NOTEST        0        4.11937        1        1	no
-  NOTEST        0        3.33087        1        1	no
-  NOTEST        0        6.22695        1        1	no
-  NOTEST        0        3.84486        1        1	no
-  OK        0.275338        4.649        0.2249        0.260978	no
-  OK        0.53528        4.39023        0.2258        0.260978	no
-  OK        0.71583        3.45306        0.0541        0.0863095	no
-  OK        0.35203        3.14178        0.11315        0.164967	no
-  OK        0.805262        6.60457        0.2258        0.260978	no
-  NOTEST        0        4.74528        1        1	no
-  OK        1.16219        4.48499        0.0401        0.0657447	no
-  OK        1.08117        5.73824        0.2431        0.271716	no
-  OK        2.98085        6.2298        0.2432        0.271716	no
-  OK        3.16732        5.52354        0.0597        0.0941773	no
-  OK        5.96171        5.27119        0.8308        0.840502	no
-  OK        2.35746        6.59636        0.0825        0.126869	no
-  NOTEST        3.93198        3.52183        1        1	no
-  OK        2.99708        6.2661        0.2432        0.271716	no
-  OK        2.83193        8.1965        0.2073        0.260978	no
-  NOTEST        2.68436        2.9351        1        1	no
-  NOTEST        0.596703        2.87841        1        1	no
-  NOTEST        0.879041        4.24037        1        1	no
-  NOTEST        3.0332        4.02464        1        1	no
-  OK        20.7481        1.66809        0.2173        0.260978	no
-  OK        6.80365        1.64099        0.03575        0.0592433	no
-  OK        11.4275        0.848074        0.2173        0.260978	no
-  OK        3.58423        4.13011        0.6131        0.633925	no
-  OK        4.37698        9.15112        0.2432        0.271716	no
-  OK        4.78938        9.87192        0.0489        0.0787553	no
-  OK        1.8571        9.40632        0.04375        0.0711725	no
-  OK        1.103        8.51314        0.11405        0.165127	no
-  OK        0.0621589        4.01793        0.2249        0.260978	no
-  NOTEST        0        4.09141        1        1	no
-  NOTEST        0        4.40733        1        1	no
-  NOTEST        0        4.70295        1        1	no
-  NOTEST        0        2.91029        1        1	no
-  NOTEST        0        3.37657        1        1	no
-  NOTEST        0        3.97227        1        1	no
-  NOTEST        0        2.99294        1        1	no
-  OK        0.225667        3.91891        0.11235        0.164967	no
-  NOTEST        0        4.64023        1        1	no
-  OK        0.612775        6.79792        0.2249        0.260978	no
-  NOTEST        0        3.59078        1        1	no
-  OK        0.942514        10.4559        0.2249        0.260978	no
-  NOTEST        1.05811        3.31708        1        1	no
-  OK        0.703604        3.28123        0.03105        0.0520488	no
-  OK        1.4145        3.63912        0.05475        0.087157	no
-  OK        1.25947        4.86042        0.14755        0.198642	no
-  OK        0.844544        3.66657        0.0594        0.0938891	no
-  OK        0.838706        3.53982        0.0603        0.0950104	no
-  NOTEST        2.88699        4.64214        1        1	no
-  OK        2.47054        4.36977        0.24195        0.271716	no
-  OK        1.07904        4.16409        0.04635        0.0749523	no
-  OK        1.26828        4.74106        0.08315        0.127623	no
-  OK        3.45559        5.55643        0.33895        0.363058	no
-  NOTEST        2.49693        2.94363        1        1	no
-  OK        3.5496        4.98117        0.35145        0.376157	no
-  OK        5.39239        4.87647        0.82485        0.835317	no
-  OK        1.10048        6.90247        0.22985        0.260978	no
-  NOTEST        0.898747        2.81857        1        1	no
-  OK        1.30934        3.78965        0.0793        0.122329	no
-  OK        8.8159        27.6371        0.19145        0.251028	no
-  NOTEST        0        3.33992        1        1	no
-  NOTEST        1.62981        2.62065        1        1	no
-  NOTEST        1.37874        4.32386        1        1	no
-  OK        0.31846        3.60989        0.1124        0.164967	no
-  NOTEST        0.391391        1.69968        1        1	no
-  NOTEST        0        1.81923        1        1	no
-  OK        0.463094        5.13742        0.2249        0.260978	no
-  NOTEST        0        3.16776        1        1	no
-  NOTEST        0        3.24298        1        1	no
-  NOTEST        0        4.70295        1        1	no
-  NOTEST        0        2.86992        1        1	no
-  NOTEST        0        3.70729        1        1	no
-  NOTEST        0        3.46323        1        1	no
-  NOTEST        0.294495        2.6988        1        1	no
-  OK        0.392235        6.81151        0.2249        0.260978	no
-  OK        0.33242        3.12711        0.11275        0.164967	no
-  OK        1.4814        7.86245        0.2431        0.271716	no
-  NOTEST        0        4.1602        1        1	no
-  OK        0.640823        5.87259        0.22525        0.260978	no
-  NOTEST        1.83216        3.83056        1        1	no
-  OK        0.335171        4.04164        0.2249        0.260978	no
-  NOTEST        0.90247        3.19248        1        1	no
-  NOTEST        0.702675        4.06753        1        1	no
-  OK        0.461919        4.23309        0.22525        0.260978	no
-  NOTEST        0.512663        2.72093        1        1	no
-  NOTEST        0        2.66939        1        1	no
-  NOTEST        0.521476        4.02484        1        1	no
-  NOTEST        0        2.45674        1        1	no
-  NOTEST        0        3.59797        1        1	no
-  NOTEST        0        2.90927        1        1	no
-  NOTEST        0        3.18912        1        1	no
-  NOTEST        0        4.82596        1        1	no
-  NOTEST        0        2.6894        1        1	no
-  NOTEST        2.87966        3.61099        1        1	no
-  NOTEST        0        3.19973        1        1	no
-  OK        0.753311        3.1978        0.0319        0.0533568	no
-  OK        0.916872        3.42744        0.08315        0.127623	no
-  NOTEST        2.1286        3.59382        1        1	no
-  OK        0.771153        6.32296        0.2258        0.260978	no
-  OK        1.37874        5.32066        0.14755        0.198642	no
-  OK        3.96089        10.5063        0.27995        0.303676	no
-  OK        2.16018        4.16816        0.3644        0.388413	no
-  NOTEST        0        2.89474        1        1	no
-  NOTEST        0        3.37115        1        1	no
-  OK        0.270831        4.83419        0.2249        0.260978	no
-  NOTEST        0        4.102        1        1	no
-  OK        0.14642        3.74326        0.2249        0.260978	no
-  OK        0.237754        4.41538        0.11235        0.164967	no
-  NOTEST        0        3.95203        1        1	no
-  OK        0.356858        4.82001        0.2249        0.260978	no
-  NOTEST        0        5.86404        1        1	no
-  OK        1.08011        4.03766        0.08315        0.127623	no
-  OK        1.75673        5.2536        0.07965        0.122818	no
-  OK        10.5285        2.5403        0.0737        0.11415	no
-  NOTEST        0.60263        3.19842        1        1	no
-  NOTEST        1.28208        6.18458        1        1	no
-  OK        1.83913        8.87169        0.25385        0.27913	no
-  NOTEST        0        4.24793        1        1	no
-  NOTEST        0        2.72391        1        1	no
-  NOTEST        0.409902        3.55916        1        1	no
-  NOTEST        0        3.64333        1        1	no
-  NOTEST        0        3.01005        1        1	no
-  NOTEST        0.629751        3.03783        1        1	no
-  NOTEST        0        2.82036        1        1	no
-  OK        14.9148        15.8247        0.9086        0.914815	no
-  OK        5.63642        6.52543        0.7937        0.805887	no
-  NOTEST        2.54896        3.68935        1        1	no
-  OK        5.16346        6.8481        0.74405        0.759639	no
-  OK        3.66512        19.4524        0.2431        0.271716	no
-  OK        5.41938        12.1997        0.20735        0.260978	no
-  NOTEST        2.93536        4.60105        1        1	no
-  NOTEST        2.34531        3.84713        1        1	no
-  NOTEST        3.95307        4.76726        1        1	no
-  OK        3.78012        10.0269        0.27995        0.303676	no
-  OK        1.41629        5.80632        0.1329        0.18257	no
-  OK        2.56719        3.38924        0.28295        0.306818	no
-  NOTEST        1.84007        2.50169        1        1	no
-  NOTEST        0        4.29747        1        1	no
-  NOTEST        0        5.06405        1        1	no
-  NOTEST        0        3.39922        1        1	no
-  OK        0.541652        4.96377        0.22525        0.260978	no
-  OK        3.78012        16.4113        0.13        0.179295	no
-  OK        2.3184        5.31153        0.23145        0.262445	no
-  NOTEST        0        2.20403        1        1	no
-  NOTEST        0        5.00975        1        1	no
-  NOTEST        0.372945        2.699        1        1	no
-  NOTEST        0        2.29222        1        1	no
-  NOTEST        0        6.26985        1        1	no
-  NOTEST        0.930926        3.14346        1        1	no
-  NOTEST        0        2.90942        1        1	no
-  NOTEST        0.671562        3.23952        1        1	no
-  OK        1.77845        5.43406        0.07265        0.112606	no
-  NOTEST        1.66956        4.42855        1        1	no
-  NOTEST        0.406243        3.52738        1        1	no
-  OK        0.417423        5.03448        0.2249        0.260978	no
-  NOTEST        0        3.4578        1        1	no
-  NOTEST        0        3.64333        1        1	no
-  NOTEST        0        3.27578        1        1	no
-  NOTEST        0        5.94123        1        1	no
-  OK        1.57915        5.1414        0.1011        0.152546	no
-  OK        0.270027        3.38669        0.2249        0.260978	no
-  NOTEST        2.21942        3.92471        1        1	no
-  OK        4.31157        7.6278        0.4019        0.426098	no
-  OK        2.56278        13.5957        0.2431        0.271716	no
-  OK        5.50114        6.85477        0.5339        0.555688	no
-  NOTEST        2.40524        3.48077        1        1	no
-  OK        2.27609        10.9795        0.25385        0.27913	no
-  NOTEST        1.35816        3.93094        1        1	no
-  OK        1.35694        3.35487        0.04885        0.078682	no
-  OK        1.66207        5.01049        0.1059        0.159261	no
-  OK        4.02524        4.16082        0.93715        0.938784	no
-  OK        2.97376        5.45182        0.30085        0.325501	no
-  OK        0.929752        3.58799        0.08295        0.12739	no
-  NOTEST        1.37876        2.43923        1        1	no
